country_name,year,region_name_harmonized,HD_size_dejure_mean,HL_IMR,HL_U5MR,ED_educ_years_mean,WL_wealth_mean,gdp_pc
India,1994,Manipur,5.92333333333333,41.4583333333333,60.7383333333333,3.97833333333333,31.3116666666667,1726.6190999349
India,1994,Meghalaya,5.885,68.2883333333333,92.7566666666667,2.73333333333333,30.0533333333333,1786.89709472656
India,1994,Mizoram,5.58333333333333,18.34,33.5533333333333,4.93333333333333,34.0,1639.07786051432
India,1994,Nagaland,5.44,21.3416666666667,27.8766666666667,3.57833333333333,38.215,2074.62532552083
India,1994,Orissa,5.27166666666667,106.951666666667,126.598333333333,1.87333333333333,25.485,1367.27870686849
India,1994,Punjab,5.58,54.3016666666667,68.6633333333333,3.57833333333333,48.46,3569.15840657552
India,1994,Rajasthan,6.10833333333333,73.9166666666667,104.645,1.19666666666667,33.1866666666667,1622.49525960286
India,1994,Tamil Nadu,4.51833333333333,64.8616666666667,82.9783333333333,3.60166666666667,36.645,2352.68933105469
India,1994,West Bengal,5.34,70.9416666666667,94.1666666666667,2.655,33.7816666666667,1800.81532796224
India,1994,Uttar Pradesh + Uttaranchal,6.25666666666667,97.69,138.29,1.74833333333333,30.9883333333333,1433.81068929036
India,1994,New Delhi,5.14166666666667,62.3066666666667,78.4883333333333,5.70666666666667,66.7716666666667,4224.01782226562
India,1994,Arunachal Pradesh,5.56666666666667,43.84,76.3333333333333,1.95666666666667,34.395,2280.74544270833
India,1994,Tripura,5.36,70.5633333333333,95.74,3.35833333333333,32.27,1423.43243408203
Kenya,1994,Nairobi,2.928,46.638,83.304,8.472,46.936,9365.387109375
Kenya,1994,Central,4.062,32.972,44.95,7.172,19.636,1841.28596191406
Kenya,1994,Coast,5.034,65.952,106.154,4.7,22.288,3047.90712890625
Kenya,1994,Eastern,5.37,52.352,72.388,5.99,14.902,1142.47512207031
Kenya,1994,Nyanza,4.64,137.498,202.34,5.708,10.93,974.583349609375
Kenya,1994,Rift Valley,4.84,37.424,58.376,5.81,16.49,1134.96589355469
Kenya,1994,Western,5.306,60.588,115.126,6.346,15.686,976.559423828125
Morocco,1994,Sud (Souss-Massa-Draa + Guelmim-Es-smara + Laayoune-Boujdou-sakia Al Hamra),5.71454545454545,56.2454545454545,88.7863636363636,1.44363636363636,48.0163636363636,4159.36126154119
Morocco,1994,Tensift and Centre (Marrakech-Tensift-Al Haouz + Doukkala-Abda + Tadla-Azilal + Chaouia-Ouardigha + Grand-Casablanca),5.92272727272727,46.6918181818182,58.7681818181818,3.16545454545455,49.2490909090909,4106.32171075994
Morocco,1994,Centre-Nord (Fes-Boulemane + Taza-Al Hoceima-Taounate),6.16,65.0754545454545,86.7218181818182,2.27454545454545,41.9654545454545,2816.92147549716
Morocco,1994,Oriental,6.21818181818182,56.5436363636364,63.3636363636364,2.54818181818182,59.8863636363636,3909.49092240767
Morocco,1994,Meknes-Tafilalet,5.64909090909091,45.7818181818182,63.3890909090909,3.19909090909091,52.2345454545455,3278.13558682528
Madagascar,1994,Mahajanga (Sofia + Boeny + Melaky + Betsiboka ),4.834,110.114,173.346,2.82,8.984,1447.06694335938
Madagascar,1994,Toliara (Anosy + Androy + Atsimo Andrefana + Menabe),4.776,107.118,155.98,2.722,10.236,1447.06694335938
Malawi,1994,Northern,4.69,113.7525,186.765,4.9575,13.765,788.968490600586
Malawi,1994,Central,4.55,124.1375,240.815,2.7925,11.86,770.289138793945
Malawi,1994,Southern,4.3025,132.7425,214.425,2.6425,13.51,749.980209350586
Niger,1994,Niamey,6.41,63.4766666666667,155.233333333333,3.37333333333333,38.4066666666667,820.914021809896
Pakistan,1994,Punjab + Islamabad,6.632,89.608,114.494,1.416,43.744,3070.65239257812
Pakistan,1994,Sindh,6.838,88.562,115.806,1.408,46.17,4153.258203125
Pakistan,1994,Khyber Pakhtunkhwa (NWFP),7.412,58.756,74.35,0.566,38.97,2859.92006835937
Pakistan,1994,Balochistan,7.854,65.762,90.734,0.33,33.052,3779.18193359375
Zambia,1994,Central,5.225,99.995,163.49,5.645,19.305,2115.53479003906
Zambia,1994,Copperbelt,6.33,88.285,177.89,6.745,46.315,2108.51672363281
Zambia,1994,Eastern + Northern + Muchinga,5.055,124.625,228.65,3.785,10.375,2110.05285644531
Zambia,1994,Lusaka,5.575,103.605,181.795,6.85,40.495,2119.4169921875
Zambia,1994,Northwestern,4.145,104.13,171.175,4.5,12.215,2118.23278808594
Zambia,1994,Southern,6.445,79.305,164.23,5.485,18.49,2127.92724609375
Zambia,1994,Western,4.865,138.425,222.675,4.49,9.465,2129.66088867188
Colombia,1995,Atlantica,5.18,35.9,43.91,6.89,43.66,5987.83251953125
Colombia,1995,Oriental,4.38,20.97,24.95,6.77,50.16,8508.3857421875
Colombia,1995,Central,4.25,26.57,34.11,7.08,53.04,6712.18115234375
Colombia,1995,Pacifica,4.42,29.14,39.82,6.94,49.73,4738.49267578125
Colombia,1995,Bogota,3.86,24.78,30.84,9.12,63.0,12820.9111328125
Egypt,1995,Urban Governorates,4.47,30.65,38.97,4.89,88.5,9070.1337890625
Egypt,1995,Lower Egypt,5.34,48.59,61.37,3.35,73.35,5828.29833984375
Egypt,1995,Upper Egypt,5.94,88.11,115.03,2.58,62.31,5849.43310546875
Egypt,1995,Frontier Governorates,6.11,50.09,59.57,4.17,81.94,6427.95458984375
Guatemala,1995,Norte,5.85,45.83,73.33,1.61,15.07,1333.65344238281
Guatemala,1995,Nororiente,5.28,46.26,65.67,3.58,27.61,3020.89599609375
Guatemala,1995,Suroriente,5.26,62.02,86.3,2.98,22.62,2239.75390625
Guatemala,1995,Central,5.03,61.93,74.95,4.36,37.61,1933.39514160156
Guatemala,1995,Suroccidente,5.44,45.78,59.43,3.25,26.32,1714.15307617188
Guatemala,1995,Noroccidente,5.96,54.89,77.84,1.99,17.67,903.295593261719
Bangladesh,1995,Barisal,5.40666666666667,93.0533333333333,134.416666666667,2.83333333333333,22.92,1333.24060058594
Bangladesh,1995,Khulna,5.40333333333333,78.8166666666667,95.7033333333333,2.16,27.1566666666667,1452.880859375
Bangladesh,1995,Rajashahi + Rangpur,4.95333333333333,80.5966666666667,111.463333333333,1.59666666666667,25.2866666666667,1224.68823242188
Cote d'Ivoire,1995,Center,6.97055555555556,84.905,132.267222222222,2.24444444444444,32.0411111111111,2815.7408718533
Cote d'Ivoire,1995,Center North,5.67444444444445,77.22,126.578333333333,2.26388888888889,30.2777777777778,2815.7408718533
Cote d'Ivoire,1995,North East,7.41055555555556,78.5538888888889,131.777777777778,1.72111111111111,26.4516666666667,2793.81566026476
Cote d'Ivoire,1995,South + Abidjan,5.72555555555556,71.085,122.231111111111,3.38111111111111,40.9522222222222,2812.14549424913
Cote d'Ivoire,1995,South West,5.245,90.8327777777778,140.492222222222,1.48611111111111,19.6355555555556,2803.86516655816
Cote d'Ivoire,1995,Center West,6.89222222222222,94.7983333333333,165.078888888889,1.94555555555556,22.3116666666667,2815.7408718533
Cote d'Ivoire,1995,North West,6.64833333333333,84.0294444444444,178.707777777778,1.18944444444444,27.74,2795.73996310764
Ghana,1995,Western,3.662,77.65,130.488,5.694,23.114,2108.14079589844
Ghana,1995,Central,3.522,74.556,131.02,5.814,24.034,2094.23774414063
