constituency-name,parl25-deprivation-score,label,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
Rutherglen,23.5330787,3rd IMD quintile,0.442865402,0.287738477,0.269396121,3,5
North Cornwall,23.48819728,3rd IMD quintile,0.07478986,0.845074732,0.080135408,3,5
Bridgwater,23.47222552,3rd IMD quintile,0.291268173,0.512342206,0.196389621,3,5
Ealing North,23.41430087,3rd IMD quintile,0.19749899,0.659212578,0.143288433,3,5
Bassetlaw,23.40962833,3rd IMD quintile,0.359642025,0.422615263,0.217742712,3,5
Pontypridd,23.34550983,3rd IMD quintile,0.370293745,0.433228141,0.196478115,3,5
Dover and Deal,23.14741697,3rd IMD quintile,0.308782246,0.478082322,0.213135432,3,5
Derby North,23.09675189,3rd IMD quintile,0.310245565,0.509663964,0.180090471,3,5
Luton North,23.08832584,3rd IMD quintile,0.252416263,0.582574785,0.165008953,3,5
Gillingham and Rainham,23.00294566,3rd IMD quintile,0.402092792,0.383873419,0.214033789,3,5
Bedford,22.92099868,3rd IMD quintile,0.339449958,0.475171831,0.185378211,3,5
Southgate and Wood Green,22.90661815,3rd IMD quintile,0.274125594,0.525934595,0.199939811,3,5
Central Ayrshire,22.8786449,3rd IMD quintile,0.343579558,0.421934722,0.23448572,3,5
Stretford and Urmston,22.86149084,3rd IMD quintile,0.309823606,0.552593165,0.137583229,3,5
South Basildon and East Thurrock,22.7901284,3rd IMD quintile,0.336029427,0.48741155,0.176559023,3,5
Wyre Forest,22.78401023,3rd IMD quintile,0.354256548,0.428606688,0.217136764,3,5
Streatham and Croydon North,22.78348449,3rd IMD quintile,0.12215706,0.809205014,0.068637925,3,5
Bridlington and The Wolds,22.73967134,3rd IMD quintile,0.40368885,0.421688659,0.174622491,3,5
Morecambe and Lunesdale,22.60143613,3rd IMD quintile,0.444028598,0.355282128,0.200689274,3,5
Slough,22.57610387,3rd IMD quintile,0.168454461,0.7518501,0.079695439,3,5
Leeds North East,22.54036112,3rd IMD quintile,0.515202673,0.221207329,0.263589999,3,5
Croydon East,22.51299542,3rd IMD quintile,0.376647711,0.360536759,0.26281553,3,5
Coventry North West,22.509102,3rd IMD quintile,0.314900869,0.498906854,0.186192277,3,5
Thurrock,22.50328256,3rd IMD quintile,0.282960475,0.584465076,0.132574448,3,5
Rochester and Strood,22.27044078,3rd IMD quintile,0.277584077,0.62414329,0.098272633,3,5
Isle of Wight West,22.23780749,3rd IMD quintile,0.216357456,0.669338621,0.114303923,3,5
South West Norfolk,22.23576297,3rd IMD quintile,0.177867177,0.721841701,0.100291122,3,5
Carlisle,22.15249197,3rd IMD quintile,0.36100959,0.48549072,0.15349969,3,5
Eastbourne,22.14463765,3rd IMD quintile,0.284726975,0.532671454,0.182601571,3,5
Doncaster East and the Isle of Axholme,22.08269337,3rd IMD quintile,0.401019632,0.38801718,0.210963188,3,5
Spen Valley,22.08013143,3rd IMD quintile,0.381666839,0.460311346,0.158021815,3,5
Ilford South,21.96555602,3rd IMD quintile,0.121275988,0.780485484,0.098238527,3,5
Coventry South,21.94515265,3rd IMD quintile,0.306581644,0.564205403,0.129212953,3,5
Ealing Central and Acton,21.93587599,3rd IMD quintile,0.249890716,0.641631872,0.108477412,3,5
Hammersmith and Chiswick,21.90927905,3rd IMD quintile,0.298669018,0.55857157,0.142759412,3,5
South Dorset,21.88306066,3rd IMD quintile,0.353483177,0.495662233,0.15085459,3,5
Hazel Grove,21.77639867,3rd IMD quintile,0.400349769,0.4388533,0.160796931,3,5
Bournemouth West,21.77573711,3rd IMD quintile,0.31402571,0.592331139,0.093643151,3,5
Gravesham,21.76374324,3rd IMD quintile,0.376616576,0.423615332,0.199768092,3,5
Torridge and Tavistock,21.76161176,3rd IMD quintile,0.167271918,0.788715013,0.044013069,3,5
Redditch,21.73945411,3rd IMD quintile,0.421655339,0.33599189,0.242352771,3,5
Eltham and Chislehurst,21.71819789,3rd IMD quintile,0.355709148,0.493179176,0.151111676,3,5
South East Cornwall,21.57972686,3rd IMD quintile,0.217646668,0.689242102,0.093111229,3,5
Mid and South Pembrokeshire,21.56150976,3rd IMD quintile,0.292779878,0.570962067,0.136258054,3,5
Leyton and Wanstead,21.48000204,3rd IMD quintile,0.290285584,0.627080974,0.082633442,3,5
Bournemouth East,21.47393312,3rd IMD quintile,0.35802819,0.47458913,0.16738268,3,5
Cardiff South and Penarth,21.45509458,3rd IMD quintile,0.378079578,0.428533794,0.193386628,3,5
Brent West,21.38803069,3rd IMD quintile,0.195047351,0.76448588,0.040466769,3,5
Tynemouth,21.25671241,3rd IMD quintile,0.532735444,0.226782285,0.240482271,3,5
Bristol North West,21.23960246,3rd IMD quintile,0.461401584,0.307810037,0.230788379,3,5
Bognor Regis and Littlehampton,21.18346473,3rd IMD quintile,0.306543971,0.567250874,0.126205155,3,5
