parl25,constituency-name,parl25-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,parl25-imd-pop-quintile,parl25-imd-pop-decile
UKPARL.2025.DNC,Doncaster Central,30.29701996,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.277302832,0.319752315,0.402944854,2,3
UKPARL.2025.SAH,Stalybridge and Hyde,30.15892667,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.215078981,0.359608489,0.42531253,2,3
UKPARL.2025.WGS,Washington and Gateshead South,30.1539609,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.218726488,0.409782996,0.371490516,2,3
UKPARL.2025.HUD,Huddersfield,30.1191522,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.175641532,0.411819976,0.412538492,2,3
UKPARL.2025.BGS,Bethnal Green and Stepney,30.10725263,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.046210156,0.63299101,0.320798834,2,3
UKPARL.2025.SWT,Swansea West,29.8843242,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.235536829,0.404732766,0.359730405,2,3
UKPARL.2025.MTA,Merthyr Tydfil and Aberdare,29.85316581,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.104571744,0.58542411,0.310004145,2,3
UKPARL.2025.SAS,Sittingbourne and Sheppey,29.67110876,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.198427816,0.519723839,0.281848344,2,3
UKPARL.2025.BAS,Boston and Skegness,29.67008999,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.172253251,0.549068429,0.27867832,2,3
UKPARL.2025.CRW,Croydon West,29.61607728,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0,0.754473952,0.245526048,2,3
UKPARL.2025.QPK,Queen's Park and Maida Vale,29.54262903,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.127200422,0.539947211,0.332852367,2,3
UKPARL.2025.NGS,Nottingham South,29.48728021,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.234575495,0.346711774,0.418712731,2,3
UKPARL.2025.DUN,Dundee Central,29.46368985,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.30784832,0.315391957,0.376759723,2,3
UKPARL.2025.TRB,Torbay,29.38171658,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.208543697,0.535834715,0.255621588,2,3
UKPARL.2025.BEA,Brent East,29.38170608,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.029583695,0.70582444,0.264591865,2,3
UKPARL.2025.TFD,Telford,29.30636851,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.242366357,0.43740364,0.320230003,2,3
UKPARL.2025.POS,Portsmouth South,29.23299177,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.07591877,0.710524492,0.213556738,2,3
UKPARL.2025.LWE,Lewisham East,29.19566079,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.079565291,0.593614505,0.326820204,2,3
UKPARL.2025.WDB,West Dunbartonshire,29.08548553,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.201664955,0.428606952,0.369728093,2,3
UKPARL.2025.NAH,Normanton and Hemsworth,28.99083869,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.169636854,0.478711353,0.351651793,2,3
UKPARL.2025.PMV,Plymouth Moor View,28.96578098,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.184182233,0.504707549,0.311110218,2,3
UKPARL.2025.LES,Leicester South,28.92856171,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.1789833,0.46402092,0.35699578,2,3
UKPARL.2025.EHM,East Ham,28.92218202,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0,0.901974499,0.098025501,2,3
UKPARL.2025.BIA,Bishop Auckland,28.91840935,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.184264703,0.517552051,0.298183246,2,3
UKPARL.2025.SAB,Stratford and Bow,28.83076661,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0,0.823508021,0.176491979,2,3
UKPARL.2025.MAN,Mansfield,28.50884457,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.253162936,0.348549578,0.398287486,2,3
UKPARL.2025.CAB,Coatbridge and Bellshill,28.32626565,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.273498727,0.391427476,0.335073798,2,3
UKPARL.2025.ISN,Islington North,28.31367762,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.048200462,0.684454737,0.267344801,2,3
UKPARL.2025.NHN,Northampton North,28.20077271,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.184699554,0.490608432,0.324692014,2,3
UKPARL.2025.LAA,Leigh and Atherton,28.17572353,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.335371,0.306600565,0.358028434,2,3
UKPARL.2025.SOT,Southampton Test,27.89573904,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.217977172,0.451701543,0.330321285,2,3
UKPARL.2025.SER,Southend East and Rochford,27.88737376,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.279179192,0.397544816,0.323275992,2,3
UKPARL.2025.EWH,Edmonton and Winchmore Hill,27.863175,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.200532169,0.424356963,0.375110869,2,3
UKPARL.2025.WGN,Wigan,27.84457805,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.320699989,0.330979004,0.348321007,2,3
UKPARL.2025.MCL,Middlesbrough South and East Cleveland,27.63050106,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.379321682,0.273278751,0.347399567,2,3
UKPARL.2025.LEE,Leicester East,27.58047196,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.095316606,0.638389407,0.266293987,2,3
UKPARL.2025.GNO,Glasgow North,27.55355228,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.41807168,0.27070017,0.31122815,2,3
UKPARL.2025.GMF,Glenrothes and Mid Fife,27.51459586,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.23239752,0.46443677,0.30316571,2,3
UKPARL.2025.CFE,Cardiff East,27.48254638,2nd IMD quintile,Constituencies in second most deprived quintile (20%),0.251143365,0.458266054,0.290590581,2,3
